Timestamp,Meter_Model,Manufacturer,Peak_Demand_Date_time,Accum_Energy_Reset_Time,AE_Delivered,AE_Received,AE_Del_Plus_Rec,AE_Del_Minus_Rec,RE_Delivered,RE_Received,RE_Del_Plus_Rec,RE_Del_Minus_Rec,APE_Delivered,APE_Received,APE_Del_Plus_Rec,APE_Del_Minus_Rec,Current_A,Current_B,Current_C,Current_N,Current_G,Current_Avg,Current_Unbalance_A,Current_Unbalance_B,Current_Unbalance_C,Current_Unbalance_Worst,Voltage_AB,Voltage_BC,Voltage_CA,Voltage_LLAvg,Voltage_AN,Voltage_BN,Voltage_CN,Voltage_LNAvg,Voltage_Unbalance_AB,Voltage_Unbalance_BC,Voltage_Unbalance_CA,Voltage_Unbalance_LL_Worst,Voltage_Unbalance_AN,Voltage_Unbalance_BN,Voltage_Unbalance_CN,Voltage_Unbalance_LN_Worst,ActivePower_A,ActivePower_B,ActivePower_C,ActivePower_Total,ReactivePower_A,ReactivePower_B,ReactivePower_C,ReactivePower_Total,ApparentPower_A,ApparentPower_B,ApparentPower_C,ApparentPower_Total,PF_A,PF_B,PF_C,PF_Total,DPF_A,DPF_B,DPF_C,DPF_Total,PF_Total_IEC_F32,PF_Total_IEEE_F32,PF_Total_IEC_I16,PF_Total_IEEE_I16,Frequency,Accum_AE_Del,Accum_AE_Rec,Accum_AE_Sum,Accum_AE_Net,Accum_RE_Del,Accum_RE_Rec,Accum_RE_Sum,Accum_RE_Net,Accum_APE_Del,Accum_APE_Rec,Accum_APE_Sum,Accum_APE_Net,Pwr_Dem_Interval_Dur,Cur_Dem_Interval_Dur,RS485_Proto,RS485_Addr,RS485_Baud,RS485_Parity
2025-04-14 13:36:34.802,Power Meter ,Schneider Electric,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,118.46088,N/A_FLOAT32,N/A_FLOAT32,118.46088,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.024094,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-14 13:36:43.363,Power Meter ,Schneider Electric,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,118.51103,N/A_FLOAT32,N/A_FLOAT32,118.51103,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.061283,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-14 13:36:51.955,Power Meter ,Schneider Electric,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,118.58601,N/A_FLOAT32,N/A_FLOAT32,118.64965,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.0964,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-14 13:37:00.520,Power Meter ,Schneider Electric,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,118.526375,N/A_FLOAT32,N/A_FLOAT32,118.526375,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.12178,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-14 13:37:09.071,Power Meter ,Schneider Electric,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,118.6429,N/A_FLOAT32,N/A_FLOAT32,118.46632,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.1299,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-14 13:37:17.609,Power Meter ,Schneider Electric,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,118.69087,N/A_FLOAT32,N/A_FLOAT32,118.69087,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.140404,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-14 13:37:26.144,Power Meter ,Schneider Electric,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,118.69685,N/A_FLOAT32,N/A_FLOAT32,118.69685,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.142128,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-14 13:37:34.754,Power Meter ,Schneider Electric,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,118.52495,N/A_FLOAT32,N/A_FLOAT32,118.52495,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.13258,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-14 13:37:43.291,Power Meter ,Schneider Electric,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,118.66527,N/A_FLOAT32,N/A_FLOAT32,118.66527,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.131573,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
2025-04-14 13:37:51.905,Power Meter ,Schneider Electric,2022-04-14 17:10:00.000,2018-06-11 11:16:00.000,34.347,0.291,34.638,34.056,1.029,28.786,29.815,-27.757,44.811,1.866,46.677,42.945,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,118.796585,N/A_FLOAT32,N/A_FLOAT32,118.73128,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,0,-0,N/A_FLOAT32,N/A_FLOAT32,0,0,N/A_FLOAT32,N/A_FLOAT32,0,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,N/A_FLOAT32,1,-1,1000,-31768,50.12782,34347,291,34638,34056,1029,28786,29815,-27757,44811,1866,46677,42945,15,15,0,2,2,2
